INFO  - 2022-03-03 15:38:34.454; utils.log; START=StudentChangePassword--------------------------------------------------------------
INFO  - 2022-03-03 16:01:25.122; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 16:01:27.189; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 16:01:29.272; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 16:01:31.584; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 16:01:33.729; utils.log; Search Button  Clicked
INFO  - 2022-03-03 16:01:35.781; utils.log; Job Searched was found
INFO  - 2022-03-03 16:01:35.854; utils.log; Jobs Selected
INFO  - 2022-03-03 16:01:46.096; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 16:01:51.370; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 16:01:53.488; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 16:01:55.544; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 16:01:57.658; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:03:01.715; utils.log; END=FAILED
INFO  - 2022-03-03 16:03:12.981; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 16:03:13.616; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 16:03:17.138; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 16:03:23.040; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 16:03:25.065; utils.log; Employer Login Successful
INFO  - 2022-03-03 16:03:29.252; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 16:03:31.307; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 16:03:33.365; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 16:03:35.492; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 16:03:37.556; utils.log; Search Button  Clicked
INFO  - 2022-03-03 16:03:39.602; utils.log; Job Searched was found
INFO  - 2022-03-03 16:03:39.647; utils.log; Jobs Selected
INFO  - 2022-03-03 16:03:49.778; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 16:03:54.867; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 16:03:56.942; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 16:03:58.994; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 16:04:01.063; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:04:05.102; utils.log; END=FAILED
INFO  - 2022-03-03 16:04:55.896; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 16:04:56.825; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 16:05:00.790; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 16:05:06.870; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 16:05:08.886; utils.log; Employer Login Successful
INFO  - 2022-03-03 16:05:13.082; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 16:05:15.145; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 16:05:17.195; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 16:05:19.344; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 16:05:21.395; utils.log; Search Button  Clicked
INFO  - 2022-03-03 16:05:23.453; utils.log; Job Searched was found
INFO  - 2022-03-03 16:05:23.500; utils.log; Jobs Selected
INFO  - 2022-03-03 16:05:33.680; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 16:05:38.811; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 16:05:40.892; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 16:05:42.953; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 16:05:45.018; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:06:49.056; utils.log; END=FAILED
INFO  - 2022-03-03 16:09:58.669; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-03 16:09:59.714; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 16:10:03.487; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 16:10:09.509; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 16:10:11.523; utils.log; Employer Login Successful
INFO  - 2022-03-03 16:10:15.764; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 16:10:17.828; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 16:10:19.882; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 16:10:22.021; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 16:10:24.083; utils.log; Search Button  Clicked
INFO  - 2022-03-03 16:10:26.141; utils.log; Job Searched was found
INFO  - 2022-03-03 16:10:26.255; utils.log; Jobs Selected
INFO  - 2022-03-03 16:10:36.445; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 16:10:41.596; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 16:10:43.683; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 16:10:45.742; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 16:10:47.829; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:11:51.894; utils.log; END=FAILED
INFO  - 2022-03-03 16:18:03.855; utils.log; START=CandidateProcessingHiredTAB--------------------------------------------------------------
INFO  - 2022-03-03 16:18:04.578; utils.log; Chrome browser is Selected 
INFO  - 2022-03-03 16:18:08.728; utils.log; Test Execution Started On Dev
INFO  - 2022-03-03 16:18:14.591; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-03 16:18:16.612; utils.log; Employer Login Successful
INFO  - 2022-03-03 16:18:20.784; utils.log; Dropdown  Clicked
INFO  - 2022-03-03 16:18:22.843; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-03 16:18:24.897; utils.log; Open Menu  Clicked
INFO  - 2022-03-03 16:18:27.027; utils.log; Job Title entered into Search Box
INFO  - 2022-03-03 16:18:29.087; utils.log; Search Button  Clicked
INFO  - 2022-03-03 16:18:31.151; utils.log; Job Searched was found
INFO  - 2022-03-03 16:18:31.202; utils.log; Jobs Selected
INFO  - 2022-03-03 16:18:41.352; utils.log; Recommended TAB Selected
INFO  - 2022-03-03 16:18:46.536; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-03 16:18:48.612; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-03 16:18:50.664; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-03 16:18:54.740; utils.log; Favorite success message is displayed  
INFO  - 2022-03-03 16:18:54.879; utils.log; Favorite TAB   Clicked 
INFO  - 2022-03-03 16:19:58.961; utils.log; END=FAILED
INFO  - 2022-03-07 08:27:35.556; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:27:36.288; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:30:28.226; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:30:28.925; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:30:32.655; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:30:38.347; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:30:40.364; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:30:44.528; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:30:46.576; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:30:48.633; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:30:50.767; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:30:52.824; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:30:54.879; utils.log; Job Searched was found
INFO  - 2022-03-07 08:30:54.929; utils.log; Jobs Selected
INFO  - 2022-03-07 08:31:05.092; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:31:10.185; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:31:12.283; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:31:14.338; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:31:16.431; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:32:20.477; utils.log; END=FAILED
INFO  - 2022-03-07 08:34:25.332; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:34:26.021; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:34:29.679; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:34:35.519; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:34:37.549; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:34:41.696; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:34:43.752; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:34:45.806; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:34:47.931; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:34:49.981; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:34:52.029; utils.log; Job Searched was found
INFO  - 2022-03-07 08:34:52.085; utils.log; Jobs Selected
INFO  - 2022-03-07 08:35:02.173; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:35:07.274; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:35:09.344; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:35:11.396; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:35:13.472; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:35:46.803; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:35:47.451; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:35:50.863; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:35:56.783; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:35:58.801; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:36:02.982; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:36:05.032; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:36:07.091; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:36:09.214; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:36:11.273; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:36:13.324; utils.log; Job Searched was found
INFO  - 2022-03-07 08:36:13.372; utils.log; Jobs Selected
INFO  - 2022-03-07 08:36:17.536; utils.log; END=FAILED
INFO  - 2022-03-07 08:36:23.538; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:36:28.693; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:36:30.760; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:36:32.811; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:36:34.870; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:37:38.974; utils.log; END=FAILED
INFO  - 2022-03-07 08:41:17.102; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:41:17.774; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:41:21.306; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:41:27.205; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:41:29.230; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:41:33.394; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:41:35.449; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:41:37.505; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:41:39.631; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:41:41.685; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:41:43.745; utils.log; Job Searched was found
INFO  - 2022-03-07 08:41:43.791; utils.log; Jobs Selected
INFO  - 2022-03-07 08:41:53.941; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:41:59.022; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:42:01.094; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:42:03.146; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:42:05.214; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:43:09.259; utils.log; END=FAILED
INFO  - 2022-03-07 08:48:02.500; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:48:03.382; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:48:07.301; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:48:13.205; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:48:15.219; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:48:19.442; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:48:21.501; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:48:23.549; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:48:25.754; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:48:27.805; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:48:29.865; utils.log; Job Searched was found
INFO  - 2022-03-07 08:48:29.941; utils.log; Jobs Selected
INFO  - 2022-03-07 08:48:40.218; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:48:45.346; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:48:47.454; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:48:49.518; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:48:51.567; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:49:55.589; utils.log; END=FAILED
INFO  - 2022-03-07 08:50:23.123; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:50:24.523; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:50:30.292; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:50:36.423; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:50:38.440; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:50:42.680; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:50:44.746; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:50:46.804; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:50:49.026; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:50:51.082; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:50:53.263; utils.log; Job Searched was found
INFO  - 2022-03-07 08:50:53.359; utils.log; Jobs Selected
INFO  - 2022-03-07 08:51:03.630; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:51:08.795; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:51:10.895; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:51:12.974; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:51:15.050; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:52:19.081; utils.log; END=FAILED
INFO  - 2022-03-07 08:57:31.393; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:57:32.071; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:57:35.668; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:57:41.614; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:57:43.632; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:57:47.809; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:57:49.865; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:57:51.919; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:57:54.044; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:57:56.097; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:57:58.150; utils.log; Job Searched was found
INFO  - 2022-03-07 08:57:58.196; utils.log; Jobs Selected
INFO  - 2022-03-07 08:58:08.367; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 08:58:13.459; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 08:58:15.528; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 08:58:17.578; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 08:58:19.644; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 08:59:23.679; utils.log; END=FAILED
INFO  - 2022-03-07 08:59:29.746; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 08:59:30.426; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 08:59:34.176; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 08:59:40.326; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 08:59:42.345; utils.log; Employer Login Successful
INFO  - 2022-03-07 08:59:46.521; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 08:59:48.568; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 08:59:50.627; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 08:59:52.749; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 08:59:54.811; utils.log; Search Button  Clicked
INFO  - 2022-03-07 08:59:56.863; utils.log; Job Searched was found
INFO  - 2022-03-07 08:59:56.912; utils.log; Jobs Selected
INFO  - 2022-03-07 09:00:07.064; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 09:00:12.493; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 09:00:14.564; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 09:00:16.615; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 09:00:18.679; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 09:01:23.203; utils.log; END=FAILED
INFO  - 2022-03-07 09:01:55.222; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 09:01:56.206; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 09:02:00.406; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 09:02:06.784; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 09:02:08.803; utils.log; Employer Login Successful
INFO  - 2022-03-07 09:02:13.029; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 09:02:15.097; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 09:02:17.158; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 09:02:19.317; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 09:02:21.378; utils.log; Search Button  Clicked
INFO  - 2022-03-07 09:02:23.440; utils.log; Job Searched was found
INFO  - 2022-03-07 09:02:23.519; utils.log; Jobs Selected
INFO  - 2022-03-07 09:02:33.731; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 09:02:38.841; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 09:02:40.952; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 09:02:43.019; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 09:02:45.130; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 09:03:29.473; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 09:03:30.490; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 09:03:34.688; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 09:03:40.887; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 09:03:42.909; utils.log; Employer Login Successful
INFO  - 2022-03-07 09:03:47.154; utils.log; Dropdown  Clicked
INFO  - 2022-03-07 09:03:49.179; utils.log; END=FAILED
INFO  - 2022-03-07 09:03:49.256; utils.log; Jobs Menu  Clicked
INFO  - 2022-03-07 09:03:51.417; utils.log; Open Menu  Clicked
INFO  - 2022-03-07 09:03:53.741; utils.log; Job Title entered into Search Box
INFO  - 2022-03-07 09:03:55.817; utils.log; Search Button  Clicked
INFO  - 2022-03-07 09:03:58.087; utils.log; Job Searched was found
INFO  - 2022-03-07 09:03:58.163; utils.log; Jobs Selected
INFO  - 2022-03-07 09:04:08.556; utils.log; Recommended TAB Selected
INFO  - 2022-03-07 09:04:13.671; utils.log; CheckBox  Clicked to select a Talent 
INFO  - 2022-03-07 09:04:15.795; utils.log; Actions Buttons  Clicked
INFO  - 2022-03-07 09:04:17.856; utils.log; Favorite Button   Clicked 
INFO  - 2022-03-07 09:04:19.989; utils.log; Favorite success message is displayed  
INFO  - 2022-03-07 09:05:24.038; utils.log; END=FAILED
INFO  - 2022-03-07 09:11:37.323; utils.log; START=CandidateProcessingFavoriteTab--------------------------------------------------------------
INFO  - 2022-03-07 09:11:38.009; utils.log; Chrome browser is Selected 
INFO  - 2022-03-07 09:11:41.794; utils.log; Test Execution Started On Dev
INFO  - 2022-03-07 09:11:47.633; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2022-03-07 09:11:49.653; utils.log; Employer Login Successful
INFO  - 2022-03-07 09:11:53.822; utils.log; Dropdown  Clicked
